"composite","groups","species"
"composite-diet","Carnivorous","Woolly-necked Stork, Black-winged Kite, Oriental Honey Buzzard, Bearded Vulture, Egyptian Vulture, Crested Serpent Eagle, Short-toed Snake Eagle, Red-headed Vulture, White-rumped Vulture, Indian Vulture, Griffon Vulture, Changeable Hawk Eagle, Black Eagle, Tawny Eagle, Western Marsh Harrier, Pallid Harrier, Montagu's Harrier, Shikra, Eurasian Sparrowhawk, White-bellied Sea Eagle, Black Kite, White-eyed Buzzard, Brown Fish Owl, White-throated Kingfisher, Common Kestrel, Red-necked Falcon, Peregrine Falcon, Great Grey Shrike, House Crow"
"composite-diet","Fruit-Nectar","Yellow-legged Green Pigeon, Mountain Imperial Pigeon, Asian Koel, Malabar Grey Hornbill, Malabar Barbet, Coppersmith Barbet, Plum-headed Parakeet, Rose-ringed Parakeet, Black-hooded Oriole, Thick-billed Flowerpecker, Pale-billed Flowerpecker, Nilgiri Flowerpecker, Purple-rumped Sunbird, Crimson-backed Sunbird, Purple Sunbird, Loten's Sunbird, Asian Fairy-bluebird, Golden-fronted Leafbird, Jerdon's Leafbird, Square-tailed Bulbul, Flame-throated Bulbul"
"composite-diet","Invertebrate","Crested Treeswift, White-rumped Spinetail, Brown-backed Needletail, Himalayan Swiftlet, Asian Palm Swift, Alpine Swift, Indian House Swift, Sirkeer Malkoha, Pied Cuckoo, Banded Bay Cuckoo, Common Hawk Cuckoo, Indian Cuckoo, Common Cuckoo, Indian Thick-knee, Little Ringed Plover, Yellow-wattled Lapwing, Red-wattled Lapwing, Indian Courser, Malabar Trogon, Common Hoopoe, Heart-spotted Woodpecker, Himalayan Golden-backed Woodpecker, Lesser Golden-backed Woodpecker, Rufous Woodpecker, White-bellied Woodpecker, Greater Golden-backed Woodpecker, White-naped Woodpecker, Brown-capped Pygmy Woodpecker, Yellow-fronted Pied Woodpecker, Green Bee-eater, Small Minivet, Large Cuckooshrike, Black-headed Cuckooshrike, Ashy Woodswallow, Bar-winged Flycatcher-shrike, Malabar Woodshrike, Common Woodshrike, Common Iora, Ashy Drongo, White-bellied Drongo, Bronzed Drongo, Greater Racket-tailed Drongo, White-browed Fantail, Brown Shrike, Bay-backed Shrike, Long-tailed Shrike, Black-naped Monarch, Indian Paradise-flycatcher, Forest Wagtail, Olive-backed Pipit, Richard's Pipit, Paddyfield Pipit, Tawny Pipit, Western Yellow Wagtail, Grey Wagtail, White-browed Wagtail, White Wagtail, Grey-headed Canary-flycatcher, Yellow-browed Tit, Indian Yellow Tit, Sand Lark, Zitting Cisticola, Rufous-fronted Prinia, Grey-breasted Prinia, Jungle Prinia, Ashy Prinia, Plain Prinia, Common Tailorbird, Streak-throated Swallow, Red-rumped Swallow, Wire-tailed Swallow, Barn Swallow, Eurasian Crag Martin, Dusky Crag Martin, Grey-throated Martin, Lemon-rumped Warbler, Common Chiffchaff, Greenish Leaf Warbler, Large-billed Leaf Warbler, Western Crowned Leaf Warbler, Yellow-eyed Babbler, Indian Scimitar Babbler, Tawny-bellied Babbler, Dark-fronted Babbler, Puff-throated Babbler, Quaker Tit Babbler, Large Grey Babbler, Indian Nuthatch, Velvet-fronted Nuthatch, Rosy Starling, Indian Robin, Oriental Magpie Robin, Asian Brown Flycatcher, White-bellied Blue Flycatcher, Tickell's Blue Flycatcher, Red-breasted Flycatcher, Black Redstart, Pied Bushchat"
"composite-diet","Omnivorous","Red Spurfowl, Asian Emerald Dove, Greater Coucal, White-breasted Waterhen, Indian Pond Heron, Indian Black Ibis, Indian Roller, Indian Golden Oriole, Black Drongo, Rufous Treepie, White-bellied Treepie, Large-billed Crow, Little Spiderhunter, Yellow-throated Sparrow, Cinereous Tit, Rufous-tailed Lark, Indian Bushlark, Oriental Skylark, Malabar Lark, Red-vented Bulbul, Yellow-browed Bulbul, Oriental White-eye, Common Babbler, Jungle Babbler, Grey-sided Laughingthrush, Common Starling, Brahminy Starling, Common Myna, Bank Myna, Blue Rock Thrush, Orange-headed Thrush"
"composite-diet","Plant-Seed","Indian Peafowl, Rain Quail, Jungle Bush Quail, Grey Francolin, Rock Pigeon, Oriental Turtle Dove, Eurasian Collared Dove, Red Collared Dove, Spotted Dove, Laughing Dove, Chestnut-bellied Sandgrouse, Common Crane, Malabar Parakeet, Baya Weaver, Indian Silverbill, White-rumped Munia, House Sparrow, Yellow-breasted Greenfinch, Crested Bunting, Ashy-crowned Sparrow Lark, Crested Lark"
"composite-endemics","Others-Subcontinent","Indian Peafowl, Jungle Bush Quail, Red Spurfowl, White-rumped Spinetail, Sirkeer Malkoha, Common Hawk Cuckoo, Indian Black Ibis, Yellow-wattled Lapwing, Indian Courser, Indian Vulture, Malabar Trogon, Lesser Golden-backed Woodpecker, White-naped Woodpecker, Brown-capped Pygmy Woodpecker, Plum-headed Parakeet, Black-headed Cuckooshrike, White-bellied Drongo, Pale-billed Flowerpecker, Purple-rumped Sunbird, Loten's Sunbird, Jerdon's Leafbird, Indian Yellow Tit, Rufous-tailed Lark, Ashy-crowned Sparrow Lark, Indian Bushlark, Malabar Lark, Rufous-fronted Prinia, Jungle Prinia, Ashy Prinia, Indian Scimitar Babbler, Tawny-bellied Babbler, Large Grey Babbler, Common Babbler, Jungle Babbler, Indian Nuthatch, Bank Myna, Indian Robin, Tickell's Blue Flycatcher"
"composite-endemics","Resident-Non-Endemics","Lesser Whistling Duck, Cotton Teal, Indian Spot-billed Duck, Rain Quail, Grey Francolin, Little Grebe, Rock Pigeon, Oriental Turtle Dove, Eurasian Collared Dove, Red Collared Dove, Spotted Dove, Laughing Dove, Asian Emerald Dove, Yellow-legged Green Pigeon, Mountain Imperial Pigeon, Chestnut-bellied Sandgrouse, Greater Coucal, Pied Cuckoo, Asian Koel, Banded Bay Cuckoo, Indian Cuckoo, Brown-backed Needletail, Himalayan Swiftlet, Alpine Swift, Indian House Swift, Asian Palm Swift, Crested Treeswift, Common Coot, White-breasted Waterhen, Brown Crake, Sarus Crane, Indian Thick-knee, Great Thick-knee, Black-winged Stilt, Red-wattled Lapwing, Kentish Plover, Little Ringed Plover, Greater Painted-snipe, Pheasant-tailed Jacana, Bronze-winged Jacana, Little Pratincole, Little Tern, Caspian Tern, Whiskered Tern, River Tern, Asian Openbill, Woolly-necked Stork, Little Cormorant, Great Cormorant, Indian Cormorant, Cinnamon Bittern, Grey Heron, Purple Heron, Great Egret, Intermediate Egret, Little Egret, Cattle Egret, Indian Pond Heron, Striated Heron, Black-crowned Night Heron, Glossy Ibis, Black-headed Ibis, Black-winged Kite, Bearded Vulture, Egyptian Vulture, Oriental Honey Buzzard, Red-headed Vulture, White-rumped Vulture, Crested Serpent Eagle, Short-toed Snake Eagle, Changeable Hawk Eagle, Black Eagle, Tawny Eagle, White-eyed Buzzard, Shikra, Eurasian Sparrowhawk, Black Kite, White-bellied Sea Eagle, Brown Fish Owl, Common Hoopoe, Common Kingfisher, White-throated Kingfisher, Black-capped Kingfisher, Pied Kingfisher, Green Bee-eater, Indian Roller, Coppersmith Barbet, Heart-spotted Woodpecker, Yellow-fronted Pied Woodpecker, Greater Golden-backed Woodpecker, Rufous Woodpecker, Himalayan Golden-backed Woodpecker, White-bellied Woodpecker, Common Kestrel, Red-necked Falcon, Peregrine Falcon, Rose-ringed Parakeet, Common Woodshrike, Bar-winged Flycatcher-shrike, Ashy Woodswallow, Common Iora, Small Minivet, Large Cuckooshrike, Bay-backed Shrike, Long-tailed Shrike, Great Grey Shrike, Black-hooded Oriole, Black Drongo, Bronzed Drongo, Greater Racket-tailed Drongo, White-browed Fantail, Black-naped Monarch, Rufous Treepie, House Crow, Large-billed Crow, Sand Lark, Oriental Skylark, Crested Lark, Grey-throated Martin, Eurasian Crag Martin, Dusky Crag Martin, Wire-tailed Swallow, Red-rumped Swallow, Streak-throated Swallow, Yellow-browed Tit, Cinereous Tit, Velvet-fronted Nuthatch, Red-vented Bulbul, Lemon-rumped Warbler, Common Tailorbird, Grey-breasted Prinia, Plain Prinia, Zitting Cisticola, Yellow-eyed Babbler, Oriental White-eye, Puff-throated Babbler, Quaker Tit Babbler, Grey-sided Laughingthrush, Asian Fairy-bluebird, Asian Brown Flycatcher, Oriental Magpie Robin, Pied Bushchat, Orange-headed Thrush, Brahminy Starling, Common Myna, Golden-fronted Leafbird, Thick-billed Flowerpecker, Purple Sunbird, Little Spiderhunter, White-browed Wagtail, Paddyfield Pipit, Yellow-breasted Greenfinch, House Sparrow, Yellow-throated Sparrow, Baya Weaver, Indian Silverbill, White-rumped Munia"
"composite-endemics","Western-Ghats","Malabar Grey Hornbill, Malabar Barbet, Malabar Parakeet, Malabar Woodshrike, White-bellied Treepie, Nilgiri Flowerpecker, Crimson-backed Sunbird, Flame-throated Bulbul, White-bellied Blue Flycatcher, Dark-fronted Babbler, Yellow-browed Bulbul, Square-tailed Bulbul"
"composite-habitats","Forests","Red Spurfowl, Asian Emerald Dove, Mountain Imperial Pigeon, Crested Treeswift, White-rumped Spinetail, Brown-backed Needletail, Himalayan Swiftlet, Alpine Swift, Crested Serpent Eagle, Changeable Hawk Eagle, Black Eagle, Malabar Trogon, Heart-spotted Woodpecker, Himalayan Golden-backed Woodpecker, White-bellied Woodpecker, Greater Golden-backed Woodpecker, Malabar Barbet, Plum-headed Parakeet, Malabar Parakeet, Bar-winged Flycatcher-shrike, Malabar Woodshrike, Bronzed Drongo, Greater Racket-tailed Drongo, White-bellied Treepie, Asian Fairy-bluebird, Flame-throated Bulbul, Large-billed Leaf Warbler, Indian Scimitar Babbler, Dark-fronted Babbler, Quaker Tit Babbler, Grey-sided Laughingthrush, White-bellied Blue Flycatcher"
"composite-habitats","Generalists","Indian Peafowl, Rock Pigeon, Oriental Turtle Dove, Eurasian Collared Dove, Red Collared Dove, Spotted Dove, Laughing Dove, Yellow-legged Green Pigeon, Greater Coucal, Pied Cuckoo, Asian Koel, Banded Bay Cuckoo, Common Hawk Cuckoo, Indian Cuckoo, Common Cuckoo, Indian House Swift, Asian Palm Swift, White-breasted Waterhen, Common Crane, Indian Thick-knee, Red-wattled Lapwing, Little Ringed Plover, Woolly-necked Stork, Indian Pond Heron, Indian Black Ibis, Bearded Vulture, Oriental Honey Buzzard, White-rumped Vulture, White-eyed Buzzard, Western Marsh Harrier, Shikra, Eurasian Sparrowhawk, Black Kite, Brown Fish Owl, Malabar Grey Hornbill, White-throated Kingfisher, Green Bee-eater, Coppersmith Barbet, Brown-capped Pygmy Woodpecker, Yellow-fronted Pied Woodpecker, Rufous Woodpecker, Lesser Golden-backed Woodpecker, Common Kestrel, Peregrine Falcon, Rose-ringed Parakeet, Common Woodshrike, Ashy Woodswallow, Common Iora, Small Minivet, Large Cuckooshrike, Black-headed Cuckooshrike, Brown Shrike, Long-tailed Shrike, Indian Golden Oriole, Black-hooded Oriole, Ashy Drongo, White-bellied Drongo, White-browed Fantail, Black-naped Monarch, Indian Paradise-flycatcher, Rufous Treepie, House Crow, Large-billed Crow, Sand Lark, Oriental Skylark, Crested Lark, Eurasian Crag Martin, Dusky Crag Martin, Barn Swallow, Wire-tailed Swallow, Red-rumped Swallow, Streak-throated Swallow, Grey-headed Canary-flycatcher, Yellow-browed Tit, Cinereous Tit, Indian Yellow Tit, Indian Nuthatch, Velvet-fronted Nuthatch, Red-vented Bulbul, Yellow-browed Bulbul, Square-tailed Bulbul, Lemon-rumped Warbler, Common Chiffchaff, Greenish Leaf Warbler, Western Crowned Leaf Warbler, Common Tailorbird, Grey-breasted Prinia, Ashy Prinia, Plain Prinia, Oriental White-eye, Tawny-bellied Babbler, Puff-throated Babbler, Common Babbler, Large Grey Babbler, Jungle Babbler, Asian Brown Flycatcher, Indian Robin, Oriental Magpie Robin, Tickell's Blue Flycatcher, Red-breasted Flycatcher, Black Redstart, Blue Rock Thrush, Pied Bushchat, Orange-headed Thrush, Common Starling, Rosy Starling, Brahminy Starling, Common Myna, Bank Myna, Jerdon's Leafbird, Golden-fronted Leafbird, Thick-billed Flowerpecker, Pale-billed Flowerpecker, Nilgiri Flowerpecker, Purple-rumped Sunbird, Crimson-backed Sunbird, Purple Sunbird, Loten's Sunbird, Little Spiderhunter, Forest Wagtail, Grey Wagtail, Western Yellow Wagtail, White-browed Wagtail, Olive-backed Pipit, Yellow-breasted Greenfinch, Crested Bunting, House Sparrow, Yellow-throated Sparrow, Baya Weaver, White-rumped Munia"
